item_name,item_code,created_at,size,quantity,price,store_type
"Men's haircut, barber shop",111211101,6/6/16 2:57 PM,1,1,50,private_service_provider
"Sardines, tinned, with skin, in vegetable oil, WKB",110113201,4/19/16 5:47 PM,160,1,29.3,small_medium_shop
"Broken rice, 25%, BNR",110111106,3/8/16 6:43 PM,1,1,12.49,
"Men's shirt, WKB-M",110312103,4/10/16 5:33 PM,1,1,349,small_medium_shop
"Vacuum cleaner, WKB-M",110531111,3/24/16 9:36 PM,1,1,1799,small_medium_shop
"Instant coffee, NESCAFE Classic ",110121102,8/14/16 6:01 PM,170,1,112,small_medium_shop
"Petrol, Superplus",110722103,4/17/16 1:25 PM,1,1,19.99,specialized_shop
"Football (soccer ball), WKB",110931110,4/3/16 7:05 PM,1,1,499,small_medium_shop
"Men's haircut, barber shop",111211101,5/10/16 6:03 PM,1,1,70,private_service_provider
"Bath towel, large, WKB",110521103,7/10/16 3:22 PM,1,1,171,
"Football (soccer ball), WKB",110931110,4/25/16 12:23 AM,1,1,258,specialized_shop
"Tuna flakes, tinned, WKB",110113202,3/21/16 8:05 PM,170,1,23,
"Bath towel, large, WKB",110521103,8/8/16 7:50 PM,1,1,169,
"Men's shirt, WKB-M",110312103,4/25/16 7:06 PM,1,1,700,
"Olive oil, extra virgin, WKB",110115302,7/19/16 4:09 PM,500,1,105,street_outlet
"Two-bedroom apartment, 80-120 m2",1104111113,4/24/16 10:38 PM,1,1,4300,other
"Toilet paper, multipack, WKB",111212111,5/9/16 3:34 PM,1,6,67.99,
"Flat bottom sheet, single, cotton, BL",110521104,4/10/16 6:17 PM,1,1,839,small_medium_shop
"Energy saving light bulb, 15W, WKB",110552103,5/2/16 3:21 PM,1,1,59.9,
"Plaster strips, plastic foil, WKB",110612105,4/24/16 10:23 PM,1,25,37,small_medium_shop
"Wheat flour, not self-rising, BL",110111202,6/6/16 6:26 PM,1,1,7.49,
"Apple juice, WKB",110122104,5/2/16 3:26 PM,1,1,13.1,small_medium_shop
"Potato chips (crisps), WKB",110117304,5/16/16 2:21 PM,115,1,40.19,
Fresh onions,110117104,7/3/16 4:53 PM,1,1,18.9,small_medium_shop
"Bath towel, large, WKB",110521103,5/2/16 8:50 PM,1,1,199,
"Two-bedroom apartment, 80-120 m2",1104111113,7/10/16 10:48 PM,1,1,14500,other
"Plaster strips, plastic foil, WKB",110612105,4/17/16 2:31 PM,1,20,38,small_medium_shop
Fresh carrots,110117103,7/13/16 5:41 PM,1,1,29.9,
